Order,LotArea,Alley,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemod,Foundation,BsmtFin,BsmtUnf,AC,GrLivArea,HalfBath,FullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageCars,GarageArea,WoodDeckSF,PorchSF,YrSold,SalePrice
1,31770,no,Corner,6,5,1960,1960,CBlock,639,441,Y,1656,0,2,3,TA,7,2,Fin,2,528,210,62,2010,215000
2,11622,no,Inside,5,6,1961,1961,CBlock,612,270,Y,896,0,1,2,TA,5,0,Unf,1,730,140,120,2010,105000
3,14267,no,Corner,6,6,1958,1958,CBlock,923,406,Y,1329,1,1,3,Gd,6,0,Unf,1,312,393,36,2010,172000
4,11160,no,Corner,7,5,1968,1968,CBlock,1065,1045,Y,2110,1,3,3,Ex,8,2,Fin,2,522,0,0,2010,244000
5,13830,no,Inside,5,5,1997,1998,PConc,791,137,Y,1629,1,2,3,TA,6,1,Fin,2,482,212,34,2010,189900
6,9978,no,Inside,6,6,1998,1998,PConc,602,324,Y,1604,1,2,3,Gd,7,1,Fin,2,470,360,36,2010,195500
10,7500,no,Inside,7,5,1999,1999,PConc,0,994,Y,1804,1,2,3,Gd,7,1,Fin,2,442,140,60,2010,189000
11,10000,no,Corner,6,5,1993,1994,PConc,0,763,Y,1655,1,2,3,TA,7,1,Fin,2,440,157,84,2010,175900
12,7980,no,Inside,6,7,1992,2007,PConc,935,233,Y,1187,0,3,3,TA,6,0,Fin,2,420,483,21,2010,185000
13,8402,no,Inside,6,5,1998,1998,PConc,0,789,Y,1465,1,2,3,TA,7,1,Fin,2,393,0,75,2010,180400
14,10176,no,Inside,7,5,1990,1990,PConc,637,663,Y,1341,1,2,2,Gd,5,1,Unf,2,506,192,0,2010,171500
16,53504,no,CulDSac,8,5,2003,2003,PConc,1416,234,Y,3279,1,4,4,Ex,12,1,Fin,3,841,503,246,2010,538000
17,12134,no,Inside,8,7,1988,2005,Wood,427,132,Y,1752,0,2,4,TA,8,0,RFn,2,492,325,12,2010,164000
18,11394,no,Corner,9,2,2010,2010,PConc,1445,411,Y,1856,1,2,1,Ex,8,1,Fin,3,834,113,0,2010,394432
19,19138,no,Corner,4,5,1951,1951,CBlock,120,744,Y,864,0,1,2,TA,4,0,Unf,2,400,0,0,2010,141000
20,13175,no,Inside,6,6,1978,1988,CBlock,953,589,Y,2073,0,3,3,TA,7,2,Unf,2,500,349,0,2010,210000
21,11751,no,Inside,6,6,1977,1977,CBlock,705,1139,Y,1844,0,2,3,TA,7,1,RFn,2,546,0,122,2010,190000
22,10625,no,Inside,7,6,1974,1974,CBlock,1053,0,Y,1173,0,3,3,Gd,6,2,RFn,2,528,0,120,2010,170000
23,7500,no,Inside,7,5,2000,2000,PConc,533,281,Y,1674,1,3,3,Gd,7,0,RFn,2,663,0,96,2010,216000
24,11241,no,CulDSac,6,7,1970,1970,CBlock,578,426,Y,1004,0,2,2,TA,5,1,Fin,2,480,0,0,2010,149000
25,12537,no,CulDSac,5,6,1971,2008,CBlock,734,344,Y,1078,1,2,3,TA,6,1,Fin,2,500,0,0,2010,149900
26,8450,no,Inside,5,6,1968,1968,CBlock,775,281,Y,1056,0,2,3,TA,6,1,Unf,1,304,0,269,2010,142000
27,8400,no,Corner,4,5,1970,1970,CBlock,882,0,Y,882,0,2,2,TA,4,0,Fin,2,525,240,0,2010,126000
28,10500,no,FR2,4,5,1971,1971,CBlock,432,432,Y,864,0,1,3,TA,5,1,NA,0,0,0,0,2010,115000
37,12858,no,Inside,9,5,2009,2010,PConc,0,1590,Y,2334,1,2,3,Ex,10,1,Fin,3,751,144,133,2010,376162
38,11478,no,Inside,8,5,2007,2008,PConc,1218,486,Y,1704,0,3,3,Gd,7,1,RFn,3,772,0,50,2010,306000
39,10159,no,Inside,9,5,2009,2010,PConc,1646,284,Y,1940,1,3,3,Ex,8,1,Fin,3,606,168,95,2010,395192
40,12883,no,Corner,8,5,2009,2010,PConc,0,1544,Y,1544,0,2,3,Gd,7,0,RFn,3,868,0,35,2010,290941
41,12182,no,Corner,7,5,2005,2005,PConc,1201,340,Y,1541,0,2,3,Gd,7,1,RFn,2,532,0,70,2010,220000
42,11520,no,Inside,9,5,2005,2005,PConc,110,1588,Y,1698,0,2,3,Ex,7,1,Fin,3,730,192,74,2010,275000
43,14122,no,Inside,8,5,2005,2006,PConc,28,1794,Y,1822,0,2,3,Ex,8,1,RFn,3,678,0,119,2010,259000
44,10171,no,Inside,7,5,2004,2004,PConc,2,1515,Y,1535,0,2,3,Gd,7,0,RFn,2,532,0,0,2010,214000
45,12919,no,Inside,9,5,2009,2010,PConc,2188,142,Y,2364,1,3,2,Ex,11,2,Fin,3,820,0,67,2010,611657
47,14300,no,Inside,9,5,2003,2004,PConc,1373,1473,Y,2696,1,3,3,Ex,10,2,Fin,3,958,220,150,2010,500000
48,13650,no,Corner,8,5,2002,2002,PConc,578,1093,Y,2250,1,3,3,Gd,7,1,Fin,3,756,238,130,2010,320000
52,18494,no,Corner,6,5,2005,2005,PConc,0,1324,Y,1324,0,2,3,Gd,6,0,Fin,2,430,36,23,2010,199500
55,13300,no,Inside,7,5,2004,2004,PConc,326,58,Y,1374,1,3,3,Gd,7,1,Fin,2,400,100,0,2010,184500
56,7851,no,Inside,6,5,2002,2002,PConc,625,235,Y,1960,1,3,4,Gd,8,2,Fin,2,440,288,48,2010,216500
57,8577,no,Inside,7,5,2004,2004,PConc,0,847,Y,1733,1,2,3,Gd,7,1,Fin,2,433,144,48,2010,185088
58,7750,no,Inside,7,5,2000,2000,PConc,250,134,Y,1430,1,2,3,TA,7,1,Fin,2,400,180,0,2010,180000
59,9505,no,CulDSac,7,5,2001,2001,PConc,0,884,Y,2035,1,2,3,Gd,8,1,Fin,2,434,144,48,2010,222500
60,14774,no,Corner,9,5,1999,1999,PConc,0,1393,Y,2599,1,2,4,Gd,10,1,Fin,3,779,668,30,2010,333168
61,17433,no,CulDSac,8,5,1998,1998,PConc,0,1629,Y,2475,1,2,4,Gd,7,1,Fin,3,962,23,428,2010,355000
62,10593,no,Inside,7,5,1996,1996,PConc,919,801,Y,1720,0,3,3,Gd,7,1,Fin,2,527,240,210,2010,260400
63,12256,no,Corner,8,5,1994,1995,PConc,1032,431,Y,2622,1,3,3,Gd,9,2,RFn,2,712,186,32,2010,325000
64,11764,no,CulDSac,8,7,1999,2007,PConc,524,628,Y,2270,1,2,4,Gd,9,1,Fin,3,671,132,57,2010,290000
65,16770,no,CulDSac,7,5,1998,1998,PConc,0,1195,Y,1839,1,2,4,TA,7,0,Fin,2,486,0,81,2010,221000
66,14720,no,CulDSac,8,5,1995,1996,PConc,816,1217,Y,3238,1,3,4,Gd,9,1,Fin,3,666,283,86,2010,410000
67,8987,no,Inside,8,5,2005,2006,PConc,0,1595,Y,1595,0,2,2,Gd,6,1,RFn,3,880,144,0,2010,221500
68,9215,no,Inside,7,5,2009,2010,PConc,0,1218,Y,1218,0,2,2,Gd,4,0,RFn,2,676,0,136,2010,204500
69,8640,no,Inside,7,5,2009,2009,PConc,24,732,Y,1547,1,2,3,Gd,7,0,Unf,2,614,169,45,2010,215200
70,9000,no,Inside,8,5,2008,2008,PConc,1078,488,Y,1566,0,3,3,Gd,7,0,RFn,2,750,144,168,2010,262500
